PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,PERIOD
Bojan Bogdanovic,202711,BKN,1
Rondae Hollis-Jefferson,1626178,BKN,1
Justin Hamilton,203120,BKN,1
Randy Foye,200751,BKN,1
Spencer Dinwiddie,203915,BKN,1
LeBron James,2544,CLE,1
Kevin Love,201567,CLE,1
Tristan Thompson,202684,CLE,1
Iman Shumpert,202697,CLE,1
Kyrie Irving,202681,CLE,1
Bojan Bogdanovic,202711,BKN,2
Sean Kilpatrick,203930,BKN,2
Luis Scola,2449,BKN,2
Quincy Acy,203112,BKN,2
Isaiah Whitehead,1627785,BKN,2
LeBron James,2544,CLE,2
Richard Jefferson,2210,CLE,2
Kyle Korver,2594,CLE,2
Channing Frye,101112,CLE,2
Kay Felder,1627770,CLE,2
Bojan Bogdanovic,202711,BKN,3
Rondae Hollis-Jefferson,1626178,BKN,3
Justin Hamilton,203120,BKN,3
Randy Foye,200751,BKN,3
Spencer Dinwiddie,203915,BKN,3
LeBron James,2544,CLE,3
Kevin Love,201567,CLE,3
Tristan Thompson,202684,CLE,3
Iman Shumpert,202697,CLE,3
Kyrie Irving,202681,CLE,3
Bojan Bogdanovic,202711,BKN,4
Sean Kilpatrick,203930,BKN,4
Luis Scola,2449,BKN,4
Quincy Acy,203112,BKN,4
Isaiah Whitehead,1627785,BKN,4
LeBron James,2544,CLE,4
Richard Jefferson,2210,CLE,4
Kyle Korver,2594,CLE,4
Channing Frye,101112,CLE,4
Kay Felder,1627770,CLE,4
