player.name,player.id,team.abbreviation,period
Rudy Gay,200752,SAC,1
Ryan Hollins,200797,SAC,1
DeMarcus Cousins,202326,SAC,1
Ben McLemore,203463,SAC,1
Darren Collison,201954,SAC,1
Jeff Green,201145,BOS,1
Jared Sullinger,203096,BOS,1
Tyler Zeller,203092,BOS,1
Avery Bradley,202340,BOS,1
Evan Turner,202323,BOS,1
DeMarcus Cousins,202326,SAC,2
Carl Landry,201171,SAC,2
Nik Stauskas,203917,SAC,2
Derrick Williams,202682,SAC,2
Ray McCallum,203492,SAC,2
Kelly Olynyk,203482,BOS,2
Marcus Smart,203935,BOS,2
Brandon Bass,101138,BOS,2
Jae Crowder,203109,BOS,2
Jameer Nelson,2749,BOS,2
Rudy Gay,200752,SAC,3
Ryan Hollins,200797,SAC,3
DeMarcus Cousins,202326,SAC,3
Ben McLemore,203463,SAC,3
Darren Collison,201954,SAC,3
Jeff Green,201145,BOS,3
Jared Sullinger,203096,BOS,3
Tyler Zeller,203092,BOS,3
Avery Bradley,202340,BOS,3
Evan Turner,202323,BOS,3
Rudy Gay,200752,SAC,4
Ben McLemore,203463,SAC,4
Darren Collison,201954,SAC,4
Carl Landry,201171,SAC,4
Reggie Evans,2501,SAC,4
Kelly Olynyk,203482,BOS,4
Marcus Smart,203935,BOS,4
Brandon Bass,101138,BOS,4
Jae Crowder,203109,BOS,4
Jameer Nelson,2749,BOS,4
