player.name,player.id,team.abbreviation,period
Tayshaun Prince,2419,DET,1
Greg Monroe,202328,DET,1
Andre Drummond,203083,DET,1
Kentavious Caldwell-Pope,203484,DET,1
Reggie Jackson,202704,DET,1
Trevor Ariza,2772,HOU,1
Terrence Jones,203093,HOU,1
Donatas Motiejunas,202700,HOU,1
James Harden,201935,HOU,1
Patrick Beverley,201976,HOU,1
Andre Drummond,203083,DET,2
Anthony Tolliver,201229,DET,2
Caron Butler,2406,DET,2
Spencer Dinwiddie,203915,DET,2
Jodie Meeks,201975,DET,2
Trevor Ariza,2772,HOU,2
Terrence Jones,203093,HOU,2
Josh Smith,2746,HOU,2
Corey Brewer,201147,HOU,2
Jason Terry,1891,HOU,2
Tayshaun Prince,2419,DET,3
Greg Monroe,202328,DET,3
Andre Drummond,203083,DET,3
Kentavious Caldwell-Pope,203484,DET,3
Reggie Jackson,202704,DET,3
Trevor Ariza,2772,HOU,3
Terrence Jones,203093,HOU,3
Donatas Motiejunas,202700,HOU,3
James Harden,201935,HOU,3
Patrick Beverley,201976,HOU,3
Andre Drummond,203083,DET,4
Anthony Tolliver,201229,DET,4
Caron Butler,2406,DET,4
Spencer Dinwiddie,203915,DET,4
Jodie Meeks,201975,DET,4
Terrence Jones,203093,HOU,4
James Harden,201935,HOU,4
Josh Smith,2746,HOU,4
Corey Brewer,201147,HOU,4
Jason Terry,1891,HOU,4
