player.name,player.id,team.abbreviation,period
Jayson Tatum,1628369,BOS,1
Al Horford,201143,BOS,1
Marcus Morris Sr.,202694,BOS,1
Jaylen Brown,1627759,BOS,1
Kyrie Irving,202681,BOS,1
Evan Fournier,203095,ORL,1
Aaron Gordon,203932,ORL,1
Nikola Vucevic,202696,ORL,1
Terrence Ross,203082,ORL,1
Jonathon Simmons,203613,ORL,1
Jayson Tatum,1628369,BOS,2
Aron Baynes,203382,BOS,2
Marcus Smart,203935,BOS,2
Semi Ojeleye,1628400,BOS,2
Terry Rozier,1626179,BOS,2
Terrence Ross,203082,ORL,2
Shelvin Mack,202714,ORL,2
Jonathan Isaac,1628371,ORL,2
Bismack Biyombo,202687,ORL,2
Mario Hezonja,1626209,ORL,2
Jayson Tatum,1628369,BOS,3
Al Horford,201143,BOS,3
Marcus Morris Sr.,202694,BOS,3
Jaylen Brown,1627759,BOS,3
Kyrie Irving,202681,BOS,3
Evan Fournier,203095,ORL,3
Aaron Gordon,203932,ORL,3
Nikola Vucevic,202696,ORL,3
Terrence Ross,203082,ORL,3
Jonathon Simmons,203613,ORL,3
Aron Baynes,203382,BOS,4
Marcus Smart,203935,BOS,4
Semi Ojeleye,1628400,BOS,4
Terry Rozier,1626179,BOS,4
Shane Larkin,203499,BOS,4
Evan Fournier,203095,ORL,4
Shelvin Mack,202714,ORL,4
Jonathan Isaac,1628371,ORL,4
Bismack Biyombo,202687,ORL,4
Mario Hezonja,1626209,ORL,4
