PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,PERIOD
Dante Cunningham,201967,NOP,1
Alexis Ajinca,201582,NOP,1
Omer Asik,201600,NOP,1
James Ennis III,203516,NOP,1
Toney Douglas,201962,NOP,1
Jae Crowder,203109,BOS,1
Amir Johnson,101161,BOS,1
Jared Sullinger,203096,BOS,1
Avery Bradley,202340,BOS,1
Isaiah Thomas,202738,BOS,1
James Ennis III,203516,NOP,2
Tim Frazier,204025,NOP,2
Kendrick Perkins,2570,NOP,2
Luke Babbitt,202337,NOP,2
Jordan Hamilton,202706,NOP,2
Jae Crowder,203109,BOS,2
Marcus Smart,203935,BOS,2
Terry Rozier,1626179,BOS,2
Kelly Olynyk,203482,BOS,2
Jonas Jerebko,201973,BOS,2
Dante Cunningham,201967,NOP,3
Alexis Ajinca,201582,NOP,3
Omer Asik,201600,NOP,3
James Ennis III,203516,NOP,3
Toney Douglas,201962,NOP,3
Jae Crowder,203109,BOS,3
Amir Johnson,101161,BOS,3
Jared Sullinger,203096,BOS,3
Avery Bradley,202340,BOS,3
Isaiah Thomas,202738,BOS,3
Toney Douglas,201962,NOP,4
Tim Frazier,204025,NOP,4
Kendrick Perkins,2570,NOP,4
Luke Babbitt,202337,NOP,4
Jordan Hamilton,202706,NOP,4
Jae Crowder,203109,BOS,4
Marcus Smart,203935,BOS,4
Terry Rozier,1626179,BOS,4
Jonas Jerebko,201973,BOS,4
Tyler Zeller,203092,BOS,4
