player.name,player.id,team.abbreviation,period
Khris Middleton,203114,MIL,1
Ersan Ilyasova,101141,MIL,1
Zaza Pachulia,2585,MIL,1
O.J. Mayo,201564,MIL,1
Brandon Knight,202688,MIL,1
Josh Smith,2746,DET,1
Greg Monroe,202328,DET,1
Andre Drummond,203083,DET,1
Kentavious Caldwell-Pope,203484,DET,1
Brandon Jennings,201943,DET,1
John Henson,203089,MIL,2
Caron Butler,2406,MIL,2
Luke Ridnour,2557,MIL,2
Ekpe Udoh,202327,MIL,2
Gary Neal,202390,MIL,2
Andre Drummond,203083,DET,2
Rodney Stuckey,201155,DET,2
Josh Harrellson,202725,DET,2
Will Bynum,101198,DET,2
Charlie Villanueva,101111,DET,2
Khris Middleton,203114,MIL,3
Ersan Ilyasova,101141,MIL,3
Zaza Pachulia,2585,MIL,3
O.J. Mayo,201564,MIL,3
Brandon Knight,202688,MIL,3
Josh Smith,2746,DET,3
Greg Monroe,202328,DET,3
Andre Drummond,203083,DET,3
Brandon Jennings,201943,DET,3
Rodney Stuckey,201155,DET,3
Caron Butler,2406,MIL,4
Ekpe Udoh,202327,MIL,4
Gary Neal,202390,MIL,4
Nate Wolters,203489,MIL,4
Giannis Antetokounmpo,203507,MIL,4
Andre Drummond,203083,DET,4
Kentavious Caldwell-Pope,203484,DET,4
Brandon Jennings,201943,DET,4
Rodney Stuckey,201155,DET,4
Charlie Villanueva,101111,DET,4
